cust_id,tot_income,tot_age,tot_cust_years,tot_children,female_ind,single_ind,married_ind,separated_ind,ca_resident_ind,ny_resident_ind,tx_resident_ind,il_resident_ind,az_resident_ind,oh_resident_ind,ck_acct_ind,sv_acct_ind,cc_acct_ind,ck_avg_bal,sv_avg_bal,cc_avg_bal,ck_avg_tran_amt,sv_avg_tran_amt,cc_avg_tran_amt,q1_trans_cnt,q2_trans_cnt,q3_trans_cnt,q4_trans_cnt
20443995,29734.5,60,7,3,0,0,1,0,0,0,0,0,0,0,1,1,1,872.4384223602484,106.047,1695.2448260869564,6.055900621118012,-7.2286335403726705,-2.2726708074534163,66,58,22,15
13628990,43715.0,34,4,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0.0,11569.832,0.0,0.0,4.935333333333333,0.0,3,3,3,3
17724954,28632.5,40,6,3,1,0,1,0,0,0,0,0,0,0,1,1,1,1016.5395705882353,305.44445882352943,347.11482352941175,24.539058823529412,7.886647058823529,7.76864705882353,118,22,17,13
19084198,101071.6,33,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,14130.715,0.0,0.0,-20.567474747474748,0.0,0.0,3,3,3,90
24539652,20475.0,28,5,3,0,0,1,0,0,0,1,0,0,0,1,0,1,1493.3755214723926,0.0,1129.0188957055216,-44.45977914110429,0.0,50.121288343558284,70,45,31,17
29978344,45639.0,51,6,2,0,0,1,0,0,0,1,0,0,0,1,0,0,592.388,0.0,0.0,6.073090909090909,0.0,0.0,3,3,3,90
28612227,1387.0,72,2,1,0,0,1,0,1,0,0,0,0,0,1,1,1,2101.3452427184466,118.91048543689321,474.78990291262136,-8.936592233009709,-4.5607961165048545,-12.148106796116505,17,25,25,36
24526764,88986.6,49,7,4,1,0,1,0,0,0,0,0,0,0,1,0,1,5910.958390804598,0.0,289.56827586206896,-312.9785287356322,0.0,84.18611494252873,77,4,3,3
25888374,1904.8,40,7,0,1,0,1,0,0,1,0,0,0,0,1,1,1,5788.533789473684,449.6303157894737,5843.786755980861,24.648464114832535,13.937244019138756,37.51113397129187,130,21,28,30
24531984,101278.8,46,4,7,0,0,0,1,0,0,0,0,0,0,1,0,1,3664.8419711538463,0.0,9414.628701923077,13.3825,0.0,99.77007211538462,127,27,29,25
