cust_id,tot_income,tot_age,tot_cust_years,tot_children,female_ind,single_ind,married_ind,separated_ind,ca_resident_ind,ny_resident_ind,tx_resident_ind,il_resident_ind,az_resident_ind,oh_resident_ind,ck_acct_ind,sv_acct_ind,cc_acct_ind,ck_avg_bal,sv_avg_bal,cc_avg_bal,ck_avg_tran_amt,sv_avg_tran_amt,cc_avg_tran_amt,q1_trans_cnt,q2_trans_cnt,q3_trans_cnt,q4_trans_cnt
25898368,1424.0,93,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
25900040,3524.1,43,10,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0.0,367.6775172413793,2255.319068965517,0.0,32.41659482758621,49.16789655172414,20,31,39,26
21801424,79752.4,64,7,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1531.898,0.0,0.0,29.284625,0.0,7,9,7,9
21813088,20152.6,41,4,3,1,0,0,0,0,0,1,0,0,0,1,0,0,426.713,0.0,0.0,9.870303030303031,0.0,0.0,17,58,24,0
16354656,11815.9,47,7,8,0,0,0,1,0,0,0,0,0,0,1,0,1,6104.937807692308,0.0,14268.94841826923,8.003317307692308,0.0,56.081057692307695,127,27,29,25
16359468,4053.0,60,10,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
28619262,2887.5,20,2,1,0,1,0,0,0,0,0,1,0,0,1,1,1,3382.386393442623,196.04065573770492,160.65573770491804,-5.8450655737704915,4.629688524590164,-3.989071038251366,111,16,12,44
21813984,15943.2,21,3,1,0,1,0,0,0,0,0,0,0,1,1,1,1,563.0877254901961,571.6821176470588,0.39215686274509803,2.8618,2.8615,0.0,6,13,17,14
13631720,93060.0,51,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
21803664,0.0,13,8,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0,515.481,0.0,0.0,10.195,0.0,3,3,3,3
16354368,3698.5,33,3,6,1,0,0,0,0,1,0,0,0,0,1,1,1,990.4470394736842,91.48121052631579,0.0,10.5108,0.1952,0.0,3,8,22,42
23164540,21296.4,36,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5005.994,0.0,0.0,35.69161616161616,0.0,0.0,99,0,0,0
